Test
Numero screenShot-Nivel                Label
            649                   : 88.0174 22.3057
            651                   : 87.4285 18.5168
            652                   : 87.1337 17.2476
            653                   : 86.8386 16.2533
            654                   : 86.5431 15.4684
            656                   : 85.9509 14.3539
            657                   : 85.6542 13.9655
            658                   : 85.357 13.6623
            659                   : 85.0593 13.4296
            660                   : 84.761 13.256
            662                   : 84.1627 13.0515
            663                   : 83.8626 13.0074
            665                   : 83.2601 13.0109
            666                   : 82.9578 13.0512
            667                   : 82.6546 13.1133
            668                   : 82.3506 13.1947
            669                   : 82.0456 13.2936
            670                   : 81.7397 13.4081
            672                   : 81.1249 13.6785
            673                   : 80.8159 13.832
            674                   : 80.5058 13.9964
            675                   : 80.1945 14.1708
            677                   : 79.5681 14.5468
            678                   : 79.2529 14.7473
            679                   : 78.9363 14.9554
            680                   : 78.6182 15.1707
            681                   : 78.2986 15.3927
            683                   : 77.6547 15.856
            684                   : 77.3301 16.0966
            685                   : 77.0038 16.343
            686                   : 76.6756 16.5949
            688                   : 76.0133 17.1145
            689                   : 75.6791 17.3819
            690                   : 75.3426 17.6544
            692                   : 74.6628 18.214
            694                   : 73.973 18.7928
            696                   : 73.2723 19.3907
            697                   : 72.9176 19.6968
            698                   : 72.5599 20.0077
            699                   : 72.1989 20.3235
            700                   : 71.8345 20.6443
            701                   : 71.4666 20.97
            702                   : 71.095 21.3009
            704                   : 70.34 21.9784
            705                   : 69.9562 22.3253
            707                   : 69.1747 23.0364
            708                   : 68.7766 23.4008
            709                   : 68.3733 23.7716
            711                   : 67.5495 24.5331
            712                   : 67.1284 24.9244
            713                   : 66.7006 25.3232
            716                   : 65.3727 26.5687
            717                   : 64.9135 27.002
            718                   : 64.445 27.4453
            719                   : 63.9664 27.8992
            720                   : 63.4769 28.3647
            721                   : 62.9756 28.8427
            724                   : 61.3891 30.3625
            725                   : 60.8278 30.9026
            726                   : 60.2473 31.4625
            727                   : 59.645 32.0447
            728                   : 59.018 32.6519
            729                   : 88.2979 36.5265
            731                   : 87.7048 29.5948
            732                   : 87.4078 27.1593
            733                   : 87.1106 25.1956
            734                   : 86.813 23.5968
            735                   : 86.5151 22.2847
            736                   : 86.2168 21.2011
            737                   : 85.9181 20.3021
            738                   : 85.6189 19.554
            739                   : 85.3192 18.9308
            740                   : 85.019 18.412
            741                   : 84.7182 17.9814
            742                   : 84.4168 17.6258
            743                   : 84.1147 17.3346
            744                   : 83.812 17.0991
            747                   : 82.8992 16.6609
            748                   : 82.5933 16.5872
            751                   : 81.67 16.5323
            752                   : 81.3603 16.5604
            753                   : 81.0495 16.6082
            754                   : 80.7375 16.674
            755                   : 80.4243 16.7562
            756                   : 80.1099 16.8535
            757                   : 79.7943 16.9648
            758                   : 79.4772 17.0891
            760                   : 78.8389 17.3729
            761                   : 78.5175 17.531
            762                   : 78.1945 17.699
            763                   : 77.8698 17.8764
            764                   : 77.5434 18.0627
            765                   : 77.2152 18.2575
            766                   : 76.8851 18.4603
            767                   : 76.5531 18.6708
            768                   : 76.219 18.8888
            770                   : 75.5444 19.346
            772                   : 74.8606 19.8301
            775                   : 73.8157 20.6042
            777                   : 73.105 21.1511
            779                   : 72.3817 21.7221
            780                   : 72.0151 22.0167
            781                   : 71.6448 22.3174
            782                   : 71.2708 22.6242
            783                   : 70.8928 22.9372
            784                   : 70.5107 23.2564
            785                   : 70.1242 23.5821
            786                   : 69.7331 23.9143
            787                   : 69.3372 24.2531
            789                   : 68.5297 24.9516
            790                   : 68.1176 25.3118
            791                   : 67.6994 25.6794
            792                   : 67.2748 26.055
            794                   : 66.4046 26.8313
            795                   : 65.9581 27.2328
            796                   : 65.5032 27.6439
